rate,year,sex,drugname,totpop,totdeath,stderr,glower,gupper
1.3663235826,2007,M,HYDROCODONE,3256141,46,0.2035507097,0.996820507,1.8455876466
1.3648086915,2007,T,HYDROCODONE,6525086,90,0.1451138368,1.0952742319,1.6853143714
3.3392425852,2007,F,METHADONE,3268945,112,0.3191910087,2.7430196316,4.0327506346
5.5001308921,2007,M,METHADONE,3256141,188,0.4038312545,4.7370824459,6.3670996031
4.4356558287,2007,T,METHADONE,6525086,300,0.2582802472,3.9438272714,4.9766148337
0.8928568343,2007,F,METHAMPHETAMINE,3268945,30,0.1646315202,0.5998214534,1.2865067546
1.6381693945,2007,M,METHAMPHETAMINE,3256141,54,0.2241682156,1.2285417194,2.1573681946
1.2702924439,2007,T,METHAMPHETAMINE,6525086,84,0.1396143573,1.0114636728,1.5800324944
0.912274263,2007,F,MORPHINE,3268945,31,0.1653353794,0.6174635877,1.3069420203
1.1527258703,2007,M,MORPHINE,3256141,41,0.1815443574,0.82470787,1.5883869231
1.0385660764,2007,T,MORPHINE,6525086,72,0.1235771741,0.8105721858,1.3166092625
0.6764984541,2007,F,OPIATE,3268945,24,0.1393763431,0.431447752,1.0204758449
1.5449074525,2007,M,OPIATE,3256141,52,0.2156572056,1.1514198359,2.0472265003
1.1217151709,2007,T,OPIATE,6525086,76,0.129641787,0.8820967008,1.4117678536
2.184125906,2007,F,OXYCODONE,3268945,74,0.2567776973,1.710023743,2.755850061
2.1513951829,2007,M,OXYCODONE,3256141,74,0.2517689181,1.6864072656,2.7227617729
2.1748226207,2007,T,OXYCODONE,6525086,148,0.1803582212,1.8356996688,2.5635343661
0.8912855056,2008,F,ACETAMINOPHEN,3309912,31,0.1622945124,0.602036225,1.2797951201
0.6848002126,2008,M,ACETAMINOPHEN,3298333,23,0.1452717198,0.430279721,1.0531472848
0.7787530901,2008,T,ACETAMINOPHEN,6608245,54,0.1073519623,0.5826938084,1.0254727808
1.9813358549,2008,F,ALCOHOL,3309912,71,0.2385426836,1.5415667237,2.5163664482
4.7884027181,2008,M,ALCOHOL,3298333,161,0.3809368378,4.0708847342,5.6109612043
3.4055999629,2008,T,ALCOHOL,6608245,232,0.2260795468,2.9768739297,3.883586926
1.0691501869,2008,F,ALPRAZOLAM,3309912,38,0.1754245224,0.7533411289,1.4822210018
1.2356544224,2008,M,ALPRAZOLAM,3298333,41,0.1954463851,0.8826504904,1.6994340381
1.1508655108,2008,T,ALPRAZOLAM,6608245,79,0.1309571181,0.9085860213,1.4433829164
0.5588721158,2008,F,AMITRIPTYLINE,3309912,20,0.1264334619,0.3391580502,0.8782365745
0.6359129564,2008,M,AMITRIPTYLINE,3298333,22,0.1371095493,0.396173672,0.9879091786
0.5980944179,2008,T,AMITRIPTYLINE,6608245,42,0.0933111235,0.4293607807,0.817552539
1.507239396,2008,F,CITALOPRAM,3309912,54,0.2078544106,1.1276411529,1.9827688762
0.8690075693,2008,M,CITALOPRAM,3298333,30,0.1599965922,0.5841782892,1.2639865906
1.1952007389,2008,T,CITALOPRAM,6608245,84,0.1317618106,0.9509730558,1.4889428458
1.3560358733,2008,F,COCAINE,3309912,47,0.1998065488,0.9930059112,1.8166902823
2.5903722681,2008,M,COCAINE,3298333,90,0.2757160889,2.0782878438,3.2075426291
1.9746295417,2008,T,COCAINE,6608245,137,0.1704417169,1.6547148079,2.3437754205
0.9120772867,2008,F,DIAZEPAM,3309912,32,0.1630661608,0.620912954,1.3017268918
1.0657636068,2008,M,DIAZEPAM,3298333,38,0.1741578712,0.7521189773,1.4867588692
0.9883866951,2008,T,DIAZEPAM,6608245,70,0.1192262512,0.7686125425,1.2576991454
1.385501464,2008,F,DIPHENHYDRAMINE,3309912,49,0.2008387471,1.0201199335,1.8478634146
1.1620372969,2008,M,DIPHENHYDRAMINE,3298333,40,0.1852827474,0.8276254589,1.6051826386
1.2757053025,2008,T,DIPHENHYDRAMINE,6608245,89,0.1367738131,1.0217809112,1.579301916
0.3585161391,2008,F,HEROIN,3309912,12,0.1053546519,0.1826971911,0.6401527632
1.9630517006,2008,M,HEROIN,3298333,68,0.2397654155,1.5214405629,2.5106405405
1.1703006144,2008,T,HEROIN,6608245,80,0.1320605849,0.925856691,1.4649600415
1.2278004475,2008,F,HYDROCODONE,3309912,45,0.185373758,0.8916627734,1.6593349906
1.1459403098,2008,M,HYDROCODONE,3298333,39,0.1850290807,0.8123584288,1.5888907841
1.1921966399,2008,T,HYDROCODONE,6608245,84,0.1314215206,0.9485987163,1.4852438193
4.0415736668,2008,F,METHADONE,3309912,137,0.3494268747,3.385756882,4.7937978515
5.1548195712,2008,M,METHADONE,3298333,179,0.388457067,4.4215516285,5.9910869983
4.6057342604,2008,T,METHADONE,6608245,316,0.2616136529,4.1071975035,5.1530321536
0.7267888629,2008,F,METHAMPHETAMINE,3309912,23,0.1528421142,0.4587210889,1.0993644347
1.3518559139,2008,M,METHAMPHETAMINE,3298333,46,0.2012054804,0.9865820319,1.8258284807
